order_id,order_datetime,city,customer_id,product_id,product_name,category,unit_price_list,unit_cost,quantity,discount_pct,revenue,profit,image
52518,2023-11-01 12:29:00,Chennai,3006,1042,Chinese Item 3,Chinese,291.46,149.76,1,0.0,291.46,141.7,https://example.com/images/1042.jpg
52821,2023-11-01 14:41:00,Bengaluru,3794,1028,Desserts Item 5,Desserts,169.15,79.26,1,0.0,169.15,89.89,https://example.com/images/1028.jpg
55107,2023-11-01 16:36:00,Pune,2460,1034,Beverages Item 3,Beverages,140.56,104.77,2,0.0,281.12,71.58,https://example.com/images/1034.jpg
53163,2023-11-02 08:11:00,Chennai,1875,1023,Biryani Item 8,Biryani,286.01,166.46,2,0.0,572.02,239.1,https://example.com/images/1023.jpg
54201,2023-11-02 12:05:00,Mumbai,3974,1012,Pizza Item 5,Pizza,365.65,246.74,3,0.0,1096.95,356.73,https://example.com/images/1012.jpg
54201,2023-11-02 12:05:00,Mumbai,3974,1020,Biryani Item 5,Biryani,193.29,110.82,3,10.27,520.32,187.86,https://example.com/images/1020.jpg
53882,2023-11-02 13:22:00,Chennai,4039,1021,Biryani Item 6,Biryani,122.54,88.02,2,5.37,231.92,55.88,https://example.com/images/1021.jpg
52018,2023-11-02 17:38:00,Pune,2630,1054,Salads Item 7,Salads,264.99,113.14,1,10.65,236.77,123.63,https://example.com/images/1054.jpg
52018,2023-11-02 17:38:00,Pune,2630,1047,Chinese Item 8,Chinese,604.53,346.29,1,0.0,604.53,258.24,https://example.com/images/1047.jpg
50495,2023-11-02 20:42:00,Hyderabad,4023,1024,Desserts Item 1,Desserts,539.27,250.6,1,0.0,539.27,288.67,https://example.com/images/1024.jpg
52909,2023-11-02 20:59:00,Bengaluru,3931,1007,Burgers Item 8,Burgers,197.76,91.8,2,0.0,395.52,211.92,https://example.com/images/1007.jpg
55394,2023-11-02 21:00:00,Bengaluru,3797,1044,Chinese Item 5,Chinese,645.15,364.69,1,10.47,577.6,212.91,https://example.com/images/1044.jpg
55013,2023-11-02 22:59:00,Pune,1226,1031,Desserts Item 8,Desserts,723.82,379.91,1,0.0,723.82,343.91,https://example.com/images/1031.jpg
50027,2023-11-03 14:16:00,Pune,2863,1036,Beverages Item 5,Beverages,104.18,71.41,1,0.0,104.18,32.77,https://example.com/images/1036.jpg
51334,2023-11-03 14:41:00,Kolkata,3662,1051,Salads Item 4,Salads,292.18,168.88,2,,584.36,246.6,https://example.com/images/1051.jpg
54782,2023-11-03 15:26:00,Kolkata,2977,1042,Chinese Item 3,Chinese,291.46,149.76,1,0.0,291.46,141.7,https://example.com/images/1042.jpg
54782,2023-11-03 15:26:00,Kolkata,2977,1044,Chinese Item 5,Chinese,645.15,364.69,1,5.03,612.7,248.01,https://example.com/images/1044.jpg
55132,2023-11-03 15:32:00,Chennai,1892,1036,Beverages Item 5,Beverages,104.18,71.41,2,0.0,208.36,65.54,https://example.com/images/1036.jpg
50450,2023-11-03 21:49:00,Pune,4001,1023,Biryani Item 8,Biryani,286.01,166.46,2,0.0,572.02,239.1,https://example.com/images/1023.jpg
50450,2023-11-03 21:49:00,Pune,4001,1042,Chinese Item 3,Chinese,291.46,149.76,1,10.7,260.27,110.51,https://example.com/images/1042.jpg
53968,2023-11-03 21:59:00,Hyderabad,1654,1043,Chinese Item 4,Chinese,578.57,360.53,2,,1157.14,436.08,https://example.com/images/1043.jpg
54656,2023-11-04 08:22:00,Chennai,1943,1028,Desserts Item 5,Desserts,169.15,79.26,2,10.8,301.76,143.24,https://example.com/images/1028.jpg
54795,2023-11-04 10:11:00,Mumbai,2734,1041,Chinese Item 2,Chinese,289.08,122.06,3,0.0,867.24,501.06,https://example.com/images/1041.jpg
51987,2023-11-04 12:17:00,Chennai,2436,1017,Biryani Item 2,Biryani,798.67,545.44,1,0.0,798.67,253.23,https://example.com/images/1017.jpg
53128,2023-11-04 12:22:00,Bengaluru,1128,1027,Desserts Item 4,Desserts,463.77,335.15,1,0.0,463.77,128.62,https://example.com/images/1027.jpg
53128,2023-11-04 12:22:00,Bengaluru,1128,1018,Biryani Item 3,Biryani,334.15,145.08,1,10.7,298.4,153.32,https://example.com/images/1018.jpg
52638,2023-11-04 14:29:00,Bengaluru,1251,1055,Salads Item 8,Salads,307.09,140.16,1,5.42,290.45,150.29,https://example.com/images/1055.jpg
52638,2023-11-04 14:29:00,Bengaluru,1251,1006,Burgers Item 7,Burgers,755.67,358.43,1,0.0,755.67,397.24,https://example.com/images/1006.jpg
51002,2023-11-04 16:45:00,Pune,3009,1018,Biryani Item 3,Biryani,334.15,145.08,1,5.2,316.77,171.69,https://example.com/images/1018.jpg
53775,2023-11-04 17:21:00,Bengaluru,3051,1000,Burgers Item 1,Burgers,372.11,272.66,1,0.0,372.11,99.45,https://example.com/images/1000.jpg
50350,2023-11-04 20:01:00,Delhi,2896,1042,Chinese Item 3,Chinese,291.46,149.76,2,21.09,459.98,160.46,https://example.com/images/1042.jpg
54370,2023-11-04 21:22:00,Kolkata,1902,1021,Biryani Item 6,Biryani,122.54,88.02,2,5.41,231.82,55.78,https://example.com/images/1021.jpg
52730,2023-11-04 22:39:00,Kolkata,1875,1042,Chinese Item 3,Chinese,291.46,149.76,2,0.0,582.92,283.4,https://example.com/images/1042.jpg
54563,2023-11-05 08:48:00,Chennai,3411,1038,Beverages Item 7,Beverages,702.49,299.2,1,0.0,702.49,403.29,https://example.com/images/1038.jpg
54146,2023-11-05 09:17:00,Chennai,3513,1038,Beverages Item 7,Beverages,702.49,299.2,1,15.72,592.06,292.86,https://example.com/images/1038.jpg
54421,2023-11-05 11:35:00,Mumbai,1259,1052,Salads Item 5,Salads,694.17,338.24,1,0.0,694.17,355.93,https://example.com/images/1052.jpg
54423,2023-11-05 12:21:00,Mumbai,3694,1033,Beverages Item 2,Beverages,216.24,147.21,3,0.0,648.72,207.09,https://example.com/images/1033.jpg
54799,2023-11-05 14:23:00,Hyderabad,1980,1019,Biryani Item 4,Biryani,505.21,279.91,3,12.39,1327.83,488.1,https://example.com/images/1019.jpg
53098,2023-11-05 15:16:00,Kolkata,3677,1041,Chinese Item 2,Chinese,289.08,122.06,1,10.5,258.73,136.67,https://example.com/images/1041.jpg
54996,2023-11-05 21:24:00,Mumbai,1918,1004,Burgers Item 5,Burgers,552.71,358.06,1,5.38,522.97,164.91,https://example.com/images/1004.jpg
55221,2023-11-06 12:11:00,Chennai,2015,1043,Chinese Item 4,Chinese,578.57,360.53,3,5.48,1640.58,558.99,https://example.com/images/1043.jpg
53375,2023-11-06 13:59:00,Bengaluru,4063,1037,Beverages Item 6,Beverages,614.42,402.54,1,0.0,614.42,211.88,https://example.com/images/1037.jpg
53814,2023-11-06 14:40:00,Hyderabad,3625,1033,Beverages Item 2,Beverages,216.24,147.21,3,5.11,615.57,173.94,https://example.com/images/1033.jpg
51278,2023-11-06 15:21:00,Bengaluru,4054,1018,Biryani Item 3,Biryani,334.15,145.08,1,0.0,334.15,189.07,https://example.com/images/1018.jpg
52625,2023-11-06 18:33:00,Delhi,3362,1037,Beverages Item 6,Beverages,614.42,402.54,2,0.0,1228.84,423.76,https://example.com/images/1037.jpg
52113,2023-11-06 20:25:00,Mumbai,2674,1005,Burgers Item 6,Burgers,111.59,82.52,2,0.0,223.18,58.14,https://example.com/images/1005.jpg
55027,2023-11-06 21:55:00,Bengaluru,3454,1050,Salads Item 3,Salads,110.53,68.83,1,0.0,110.53,41.7,https://example.com/images/1050.jpg
