customer_id,signup_date,age,gender,location,subscription_type,monthly_price,preferred_category,signup_source,avg_logins_per_month,boxes_opened_per_month,engagement_score,tenure_months,churned,churn_date,last_payment_date,lifetime_value
CUST100000,2023-12-31,68,Male,Chennai,Basic,499,Books,Instagram,2.73,1.5,47.6,22,0,,2025-11-15,10663.16
CUST100001,2025-09-22,54,Female,Mumbai,Premium,1199,Snacks,Instagram,1.98,2.3,69.2,1,0,,2025-11-15,1232.37
CUST100002,2025-01-25,25,Male,Mumbai,Basic,499,Fitness,Email,4.38,0.51,8.2,9,0,,2025-11-15,4453.13
CUST100003,2024-09-01,24,Male,Delhi,Basic,499,Snacks,Instagram,2.92,1.91,56.0,14,1,2025-02-28,2025-02-28,3040.2
CUST100004,2023-05-05,31,Female,Hyderabad,Basic,499,Fitness,Instagram,0.63,0.43,16.6,30,0,,2025-11-15,15593.55
CUST100005,2023-05-05,20,Male,Pune,Standard,799,Books,Organic,0.0,1.11,40.6,30,0,,2025-11-15,25128.64
CUST100006,2023-01-18,67,Male,Mumbai,Standard,799,Fitness,Affiliate,0.97,1.34,35.0,34,0,,2025-11-15,27980.89
CUST100007,2025-06-21,33,Female,Pune,Standard,799,Gadgets,Instagram,7.31,0.59,16.4,4,0,,2025-11-15,3221.42
CUST100008,2024-09-04,36,Male,Bengaluru,Basic,499,Beauty,Facebook Ads,4.3,0.95,31.3,14,1,2025-09-22,2025-09-22,6247.63
CUST100009,2024-12-30,68,Female,Delhi,Basic,499,Books,Affiliate,3.34,1.45,35.0,10,0,,2025-11-15,5004.51
CUST100010,2022-12-08,35,Male,Bengaluru,Standard,799,Fitness,Email,2.67,0.47,13.6,35,0,,2025-11-15,28219.54
CUST100011,2025-10-13,69,Female,Delhi,Basic,499,Home,Email,2.55,1.9,49.9,1,0,,2025-11-15,503.96
CUST100012,2025-05-15,33,Male,Mumbai,Premium,1199,Books,Instagram,5.1,0.07,12.0,6,0,,2025-11-15,6876.81
CUST100013,2023-07-06,25,Male,Delhi,Basic,499,Home,Organic,2.12,2.06,59.3,28,0,,2025-11-15,13906.45
CUST100014,2023-06-03,50,Female,Kolkata,Standard,799,Beauty,Affiliate,4.04,1.5,55.7,29,0,,2025-11-15,23343.72
CUST100015,2023-06-04,66,Male,Delhi,Basic,499,Fitness,Email,2.37,0.85,32.4,29,0,,2025-11-15,14670.07
CUST100016,2023-10-15,29,Male,Delhi,Standard,799,Books,Email,6.49,0.66,20.4,25,0,,2025-11-15,19421.08
CUST100017,2024-06-12,28,Male,Pune,Basic,499,Books,Facebook Ads,4.34,0.6,15.1,17,0,,2025-11-15,8160.1
